当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1961391.htm	,2020.12.30	,23:00	,巴林甲	,塔德赫蒙	,哈尔迪亚	,1.16	,0.82	,0.90	,90.62	,90.03	,12-30 23:00	,1.16	,0.99	,0.88	,90.83	,90.71	,12-30 17:41	,0.82	,1.05	,0.90	,90.62	,90.62	,	,	,	,	,	,	,	,15.00	,17.00	,7.50	,8.50	,1.11	,1.08	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1955321.htm	,2020.12.30	,23:00	,尼日超	,流浪联	,埃努古流浪者	,0.93	,0.82	,0.94	,89.68	,89.88	,	,0.93	,0.82	,0.87	,89.00	,89.00	,	,0.93	,0.85	,0.75	,87.72	,87.77	,	,0.89	,0.93	,1.00	,91.77	,91.77	,12-29 17:09	,1.50	,1.50	,3.30	,3.30	,6.50	,6.50	,3	,一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922082.htm	,2020.12.31	,01:00	,意乙	,恩波利	,阿斯科利	,0.90	,0.95	,1.03	,93.81	,92.79	,12-31 01:00	,0.90	,0.99	,1.10	,95.56	,94.23	,12-31 00:58	,0.93	,0.97	,0.85	,92.79	,92.72	,	,0.93	,0.97	,0.91	,94.49	,93.47	,	,1.53	,1.36	,4.00	,4.80	,7.00	,8.50	,1	,一球	,一球/球半	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922083.htm	,2020.12.31	,01:00	,意乙	,维琴察	,德比尔图斯	,0.98	,0.90	,0.89	,93.65	,93.16	,	,1.00	,0.92	,0.89	,95.10	,94.99	,12-31 01:00	,1.00	,0.92	,0.81	,92.79	,92.45	,12-31 01:00	,0.96	,0.92	,0.90	,93.57	,93.42	,	,1.90	,2.20	,3.30	,3.20	,4.50	,3.50	,0	,半球	,平手/半球	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1913930.htm	,2020.12.31	,02:15	,西甲	,塞尔塔	,韦斯卡	,0.91	,0.94	,1.13	,95.17	,95.64	,12-31 02:15	,0.91	,0.99	,0.98	,93.84	,94.64	,	,0.93	,0.97	,1.02	,96.10	,95.90	,12-31 02:15	,0.98	,0.87	,0.90	,92.48	,92.98	,	,1.73	,1.73	,3.70	,3.70	,4.60	,4.80	,3	,半球/一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1913932.htm	,2020.12.31	,02:15	,西甲	,马德里竞技	,赫塔菲	,0.96	,0.91	,0.99	,95.34	,95.45	,	,0.95	,0.94	,0.93	,93.09	,94.67	,	,0.96	,0.94	,1.02	,95.91	,96.46	,12-31 02:15	,0.95	,0.94	,0.93	,92.75	,94.67	,	,1.53	,1.55	,3.60	,3.60	,7.00	,7.50	,3	,一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1878100.htm	,2020.12.31	,02:15	,苏超	,马瑟韦尔	,基马诺克	,0.87	,0.97	,1.03	,94.77	,94.04	,12-31 02:15	,0.90	,0.97	,0.98	,93.05	,93.95	,	,0.93	,0.95	,0.90	,92.35	,92.77	,	,0.92	,0.95	,0.97	,93.87	,93.91	,	,2.20	,2.00	,3.25	,3.40	,3.20	,3.70	,0	,平手/半球	,半球	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1890191.htm	,2020.12.31	,03:45	,比甲	,圣图尔登	,维吉克	,0.86	,0.90	,1.10	,94.27	,93.33	,12-31 03:45	,0.86	,0.96	,1.10	,94.59	,95.02	,12-31 03:42	,0.87	,0.95	,1.00	,93.12	,92.78	,12-31 03:45	,0.88	,0.94	,1.05	,93.25	,94.31	,12-31 03:37	,2.70	,2.00	,3.75	,3.75	,2.38	,3.50	,3	,平手	,半球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1903944.htm	,2020.12.31	,04:00	,英超	,纽卡斯尔联	,利物浦	,1.06	,0.94	,0.96	,95.68	,96.29	,12-31 04:00	,1.01	,0.93	,0.96	,94.81	,95.75	,12-31 04:00	,0.94	,0.99	,0.96	,95.79	,96.05	,	,0.86	,0.97	,0.96	,92.86	,95.51	,	,7.00	,10.50	,4.60	,5.75	,1.44	,1.29	,1	,受让球半	,受让球半/两球	,1	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1906270.htm	,2020.12.31	,04:00	,英冠	,斯旺西	,雷丁	,0.92	,0.94	,1.01	,95.19	,94.92	,12-31 04:00	,0.92	,0.97	,0.98	,94.58	,95.18	,	,0.95	,0.94	,0.89	,93.30	,93.36	,	,0.95	,0.91	,0.96	,92.58	,93.89	,	,2.00	,2.00	,3.40	,3.20	,3.80	,4.20	,1	,平手/半球	,半球	,1	
