当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200718.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1726666	,2020.07.18	,波兰甲	,桑德克亚	,保德比斯基	,受让平手/半球	,平手/半球	,1.07/0.81	,2.5/3	,3	,1.01/0.85	,2.5	,0.99/0.87	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200718.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1728071	,2020.07.18	,英冠	,赫尔城	,卢顿	,平手/半球	,平手	,0.90/0.99	,2.5	,2.5/3	,1.00/0.87	,1/1.5	,0.82/1.04	,0	,1	,1	,1	
http://bf.win007.com/football/Over_20200717.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875134	,2020.07.17	,美职业	,哥伦布机员	,纽约红牛	,平手/半球	,平手/半球	,1.04/0.86	,2.5/3	,3	,1.07/0.81	,2.5	,1.07/0.80	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200717.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875696	,2020.07.17	,白俄超	,斯卢萨可	,伊斯洛奇明斯克	,受让平手/半球	,受让平手/半球	,0.99/0.83	,2.5	,2.5/3	,0.97/0.83	,2.5	,0.94/0.86	,1	,3	,0	,0	
http://bf.win007.com/football/Over_20200715.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875557	,2020.07.15	,韩足总	,水原城	,釜山偶像	,受让平手/半球	,平手	,0.981/0.899	,2.5	,2.5/3	,0.951/0.909	,1/1.5	,0.85/1.01	,0	,1	,1	,0	
http://bf.win007.com/football/Over_20200715.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1875352	,2020.07.15	,挪超	,桑德菲杰	,奥勒松	,平手/半球	,平手	,1.01/0.89	,2.5	,2.5/3	,0.92/0.96	,2/2.5	,0.86/1.01	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200715.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872152	,2020.07.16	,波兰超	,克拉科维亚	,莱克普斯纳	,受让平手/半球	,受让半球	,0.86/1.04	,2.5	,2.5/3	,0.93/0.93	,2.5	,1.09/0.77	,1	,3	,1	,0	
http://bf.win007.com/football/Over_20200715.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872154	,2020.07.16	,波兰超	,乔治罗尼亚	,史拉斯科	,平手	,平手	,0.90/0.99	,2.5	,2.5/3	,0.90/0.96	,3.5/4	,0.86/1.00	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200714.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872178	,2020.07.15	,波兰超	,卢宾扎格勒比	,克拉科夫	,平手/半球	,平手/半球	,0.90/0.99	,2.5/3	,3	,1.02/0.84	,4.5/5	,1.01/0.85	,3	,4	,0	,0	
http://bf.win007.com/football/Over_20200713.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1874603	,2020.07.14	,瑞典甲	,诺尔比	,阿卡波利斯	,平手/半球	,半球	,1.06/0.84	,2.5	,2.5/3	,1.00/0.86	,1/1.5	,1.06/0.80	,0	,1	,0	,0	
